number,achieve'money,change(%)
174085100,4859102435,54.4016
29403500,821582199,9.1886
15008000,421591623,4.69
11921100,332952812,3.7253
23223100,628908296,7.2572
10052600,268995055,3.1414
8446500,229577879,2.6395
5375000,145887121,1.6797
5535400,147086153,1.7298
3844000,101224493,1.2013
4098000,107344461,1.2806
5725300,150528185,1.7892
2282700,60508935,0.7133
2681200,71099577,0.8379
2371400,62335742,0.7411
2865100,76287992,0.8953
1938500,51110241,0.6058
2552600,67291877,0.7977
6984000,180516074,2.1825
3955800,101467905,1.2362
2236500,57214358,0.6989
2564600,65136972,0.8014
3553913,91041273,1.1106
7058400,184655963,2.2058
1618500,41845145,0.5058
6797900,180407899,2.1243
3616200,94601476,1.1301
3565300,91807404,1.1142
4215300,106523995,1.3173
3083500,77614086,0.9636
4161561,103557903,1.3005
2832500,70142724,0.8852
2233700,55170000,0.698
3176700,78430313,0.9927
2284200,56436027,0.7138
2333200,57888237,0.7291
4496100,113946783,1.405
5252800,134465427,1.6415
6229700,160059798,1.9468
21355300,575751082,6.6735
16539700,450453518,5.1687
9390800,251055911,2.9346
35274900,889867340,8.8187
7975600,199244304,1.9939
17861900,434206087,4.4655
8101500,194776964,2.0254
7693300,185091684,1.9233
4658400,112325238,1.1646
5114400,124668176,1.2786
8138700,197523215,2.0347
9250300,222404435,2.3126
7742300,191183031,1.9356
2737700,67037918,0.6844
6335000,154926927,1.5837
12362700,307633593,3.0907
23739100,628039000,5.9348
26267700,693158484,6.5669
19069100,478863316,4.7673
23044800,579973766,5.7612
9693500,237689141,2.4234
25510600,650679608,6.3777
10517500,264067019,2.6294
6914600,171007817,1.7287
4648100,114760607,1.162
5814800,143173184,1.4537
9373400,231796184,2.3434
10955900,275768296,2.739
41705100,1096015251,10.4263
12999900,330633290,3.25
16109800,420418261,4.0274
20616200,542130542,5.1541
11132900,284899208,2.7832
5771400,148007818,1.4428
26491000,704219251,6.6227
10570000,273452598,2.6425
5566400,142355325,1.3916
11375200,285003725,2.8438
4220000,106073477,1.055
7570200,187216559,1.8926
4270400,106042791,1.0676
4387600,109489001,1.0969
4409900,110102522,1.1025
4522000,114100496,1.1305
5887200,149693415,1.4718
21856400,575302201,5.4641
6161100,158738686,1.5403
7074200,180806578,1.7686
7495200,189202622,1.8738
4400800,111744655,1.1002
4320400,109090852,1.0801
3498400,88393318,0.8746
4307100,107536323,1.0768
3427000,85948606,0.8568
2927600,73823696,0.7319
6006300,154300910,1.5016
3327800,85045430,0.832
6213900,159922397,1.5535
